"";"from_name";"NATUREZA";"modularity_class";"shares_soma_c";"likes"
"73";"Ranking dos Políticos";"Sociedade Civil";"Centro-Direita";3165488;484958
"74";"Mamaefalei";"Mídia Alternativa";"Direita";3161238;569010
"75";"Juntos pelo Brasil";"Mídia Alternativa";"Direita";3112064;473891
"76";"AnonymousBr4sil";"Sociedade Civil";"Esquerda";3081907;1431652
"77";"Magno Malta";"Políticos/partidos";"Centro-Direita";3074451;1151695
"78";"Meu Professor de História";"Criadores Digitais";"Esquerda";3060151;477908
"79";"Bolsonéas";"Criadores Digitais";"Direita";3027837;NA
"80";"Diário do Centro do Mundo";"Mídia Alternativa";"Centro-Esquerda";3016923;270505
"81";"Manuela D'Ávila";"Políticos/partidos";"Centro-Esquerda";2986874;271487
"82";"Dilma Resistente";"Criadores Digitais";"Centro-Esquerda";2883707;193079
"83";"A Luta";"Criadores Digitais";"Centro-Esquerda";2882881;332768
"84";"Caneta Desesquerdizadora";"Criadores Digitais";"Direita";2790597;446273
"85";"Flavio Bolsonaro";"Políticos/partidos";"Direita";2783265;330532
"86";"Bia Kicis";"Sociedade Civil";"Direita";2778876;64305
"87";"Plantão Brasil";"Criadores Digitais";"Centro-Esquerda";2746221;1090733
"88";"Socialista de iPhone";"Criadores Digitais";"Direita";2662056;732171
"89";"Gazeta do Povo";"Imprensa";"Centro";2645421;1170774
"90";"Pixuleco";"Criadores Digitais";"Direita";2636912;186896
"91";"O POVO Online";"Imprensa";"Centro";2447203;1174064
"92";"FORA PT";"Criadores Digitais";"Direita";2442323;510582
"93";"SBT";"Imprensa";"Centro-Direita";2383261;11140832
"94";"O Cafezinho";"Mídia Alternativa";"Centro-Esquerda";2334223;370550
"95";"Sérgio Moro";"Criadores Digitais";"Direita";2283099;1408449
"96";"Olavo de Carvalho";"Criadores Digitais";"Direita";2271175;68907
"97";"Burguesia fede";"Criadores Digitais";"Centro-Esquerda";2198641;207434
"98";"Paulo Eduardo Martins";"Políticos/partidos";"Direita";2189732;217952
"99";"EL PAÍS Brasil";"Imprensa";"Centro-Esquerda";2181246;736512
"100";"Ronaldo Caiado";"Políticos/partidos";"Direita";2149007;852073
"101";"Padre Paulo Ricardo";"Sociedade Civil";"Direita";2077859;1309348
"102";"João Doria";"Políticos/partidos";"Centro-Direita";2073694;1675214
"103";"Dilma Bolada";"Criadores Digitais";"Centro-Esquerda";2011094;1783541
"104";"Humberto Costa";"Políticos/partidos";"Centro-Esquerda";1949501;127822
"105";"O Jacaré de tanga";"Mídia Alternativa";"Direita";1919661;NA
"106";"Movimento Força Brasileira";"Sociedade Civil";"Direita";1907195;127954
"107";"Eu Sou Direita";"Criadores Digitais";"Direita";1889365;112324
"108";"Jean Wyllys";"Políticos/partidos";"Esquerda";1839763;1254012
"109";"Época";"Imprensa";"Centro";1838626;2258615
"110";"Poder ao Povo";"Criadores Digitais";"Centro-Esquerda";1822838;131823
"111";"Marina Silva";"Políticos/partidos";"Centro";1797906;2369253
"112";"Ana Amélia Lemos";"Políticos/partidos";"Centro-Direita";1755381;485215
"113";"Cartazes & Tirinhas LGBT";"Criadores Digitais";"Esquerda";1735000;644548
"114";"Jornal Nacional";"Imprensa";"Centro";1724020;8159161
"115";"Ordem Dourada Do Brasil";"Sociedade Civil";"Direita";1715325;117250
"116";"Geração de Valor";"Sociedade Civil";"Direita";1713683;3289706
"117";"Jornal da Cidade Online";"Mídia Alternativa";"Direita";1686923;NA
"118";"Ricardo Amorim";"Imprensa";"Centro";1675608;605787
"119";"Deltan Dallagnol";"Políticos/partidos";"Direita";1589180;422566
"120";"Antonio Imbassahy";"Políticos/partidos";"Centro-Direita";1547528;213728
"121";"Liberdade de Expressão";"Criadores Digitais";"Direita";1545661;158439
"122";"Jovens de Direita";"Criadores Digitais";"Direita";1535598;293677
"123";"Brasil de Fato";"Mídia Alternativa";"Centro-Esquerda";1533962;562936
"124";"Canal da Direita";"Criadores Digitais";"Direita";1513176;364969
"125";"José Simão";"Imprensa";"Centro";1485181;876949
"126";"Correio Braziliense";"Imprensa";"Centro";1485171;643259
"127";"Intervenção ANTES QUE Tardia";"Sociedade Civil";"Direita";1482651;76118
"128";"Juiz Sergio Moro - O Brasil está com você";"Criadores Digitais";"Direita";1475878;790629
"129";"Paulo Pimenta";"Políticos/partidos";"Centro-Esquerda";1472568;149917
"130";"Diário Catarinense";"Imprensa";"Centro";1469621;938155
"131";"Direita Vive 3.0";"Criadores Digitais";"Direita";1442477;13466
"132";"PT no Senado";"Políticos/partidos";"Centro-Esquerda";1418828;119611
"133";"Gospel Prime";"Mídia Alternativa";"Direita";1417601;490682
"134";"Agentes Federais do Brasil";"Sociedade Civil";"Direita";1321114;758949
"135";"Implicante";"Mídia Alternativa";"Direita";1311039;757868
"136";"CBN";"Imprensa";"Centro";1305598;966667
"137";"Direita Brasil";"Criadores Digitais";"Direita";1270723;121569
"138";"DW Brasil";"Imprensa";"Centro-Esquerda";1240515;323546
"139";"Diario de Pernambuco";"Imprensa";"Centro";1228833;1271639
"140";"Otavio Leite";"Políticos/partidos";"Centro-Direita";1200695;151321
"141";"Movimento Endireita Brasil";"Sociedade Civil";"Direita";1176060;647608
"142";"Ivan Valente";"Políticos/partidos";"Esquerda";1175669;305896
"143";"A Privataria Tucana";"Criadores Digitais";"Centro-Esquerda";1167145;77721
"144";"Os Mortadelas";"Criadores Digitais";"Centro-Esquerda";1162761;230826
"145";"Partido Brasil";"Criadores Digitais";"Direita";1146747;150313
"146";"O que a mídia não mostra";"Criadores Digitais";"Centro-Esquerda";1115991;135220
"147";"Marcelo Tas";"Sociedade Civil";"Direita";1109696;3154342
"148";"Apoio Policial";"Criadores Digitais";"Direita";1094127;567878
"149";"Zero Hora";"Imprensa";"Centro";1080572;2178441
"150";"José Júnior";"Sociedade Civil";"Centro";1080063;272979
"151";"BLOG DA DILMA";"Criadores Digitais";"Centro-Esquerda";1078051;125870
"152";"Joselito Müller";"Criadores Digitais";"Direita";1071299;77524
"153";"Apenas Homens 3.0";"Criadores Digitais";"Direita";1055271;673973
"154";"Profissão: Militar";"Criadores Digitais";"Direita";1052844;413318
"155";"ILISP - Instituto Liberal de São Paulo";"Sociedade Civil";"Direita";1047494;215413
"156";"Chega de Corruptos";"Sociedade Civil";"Direita";1035516;35081
"157";"NOVO 30";"Políticos/partidos";"Direita";1029972;1294618
"158";"Pense, é grátis";"Criadores Digitais";"Esquerda";1013205;724049
"159";"Apoio ao Moro";"Criadores Digitais";"Centro";1012965;549974
"160";"Nelson Marchezan Júnior";"Políticos/partidos";"Centro-Direita";954849;138013
"161";"Mais Saúde Menos Corruptos";"Criadores Digitais";"Direita";948399;259060
"162";"Jornal da Band";"Imprensa";"Direita";946196;952855
"163";"HuffPost Brasil";"Mídia Alternativa";"Esquerda";943166;798535
"164";"Gazeta do Internauta";"Mídia Alternativa";"Direita";934691;224370
"165";"Geraldo Simões";"Políticos/partidos";"Centro-Esquerda";917620;25453
"166";"Esquerda Diário";"Mídia Alternativa";"Esquerda";914009;145433
"167";"Geledés Instituto da Mulher Negra";"Sociedade Civil";"Esquerda";910495;607504
"168";"Jair Bolsonaro Presidente 2018";"Criadores Digitais";"Direita";910452;244091
"169";"Marcos Pereira";"Políticos/partidos";"Centro";901361;370413
"170";"Carta Maior";"Mídia Alternativa";"Centro-Esquerda";900009;296387
"171";"Carlos Bolsonaro";"Políticos/partidos";"Direita";898252;183432
"172";"O Tempo";"Imprensa";"Centro-Esquerda";895004;438142
"173";"Diário do Nordeste";"Imprensa";"Centro-Esquerda";889131;544000
"174";"Fora Foro de São Paulo";"Criadores Digitais";"Direita";889058;236765
"175";"Desmascarando";"Criadores Digitais";"Centro-Esquerda";883645;339632
"176";"Coronel Telhada";"Políticos/partidos";"Direita";879488;1056173
"177";"Socialista Morena";"Mídia Alternativa";"Centro-Esquerda";876844;424143
"178";"Jornal GGN";"Mídia Alternativa";"Centro-Esquerda";837110;55902
"179";"The Intercept Brasil";"Mídia Alternativa";"Centro-Esquerda";835280;111174
"180";"Diários de uma feminista";"Criadores Digitais";"Esquerda";816429;569095
"181";"Leonardo Sakamoto";"Mídia Alternativa";"Centro-Esquerda";815978;498247
"182";"Política no Face II";"Criadores Digitais";"Centro-Esquerda";802162;221587
"183";"Reinaldo Azevedo";"Imprensa";"Direita";784498;308870
"184";"Conversa com os Brasileiros";"Sociedade Civil";"Centro-Direita";780124;581801
"185";"ATEA - Associação Brasileira de Ateus e Agnósticos";"Sociedade Civil";"Esquerda";779356;648760
"186";"Elvino Bohn Gass";"Políticos/partidos";"Centro-Esquerda";773208;98860
"187";"Tenho Vergonha";"Criadores Digitais";"Direita";766690;569242
"188";"Política na Rede";"Criadores Digitais";"Direita";763187;433373
"189";"Laércio Oliveira";"Políticos/partidos";"Centro";753823;96338
"190";"Veja São Paulo";"Imprensa";"Direita";747334;2376772
"191";"Record TV";"Imprensa";"Centro";745746;9192295
"192";"Duarte Nogueira";"Políticos/partidos";"Centro-Direita";739036;54818
"193";"Diário do Poder";"Mídia Alternativa";"Direita";737501;463643
"194";"Rede Esgoto de televisão";"Criadores Digitais";"Centro";732631;1223859
"195";"Não Me Kahlo";"Sociedade Civil";"Esquerda";722083;1227520
"196";"O Reacionário";"Criadores Digitais";"Direita";709769;44632
"197";"Amauri Teixeira";"Políticos/partidos";"Centro-Esquerda";704874;75834
"198";"Viomundo";"Mídia Alternativa";"Centro-Esquerda";684614;163051
"199";"Yahoo Noticias";"Imprensa";"Direita";683387;1922952
"200";"Dep Pr Jefferson Campos";"Políticos/partidos";"Centro";681800;176802
"201";"Marcelo Freixo";"Políticos/partidos";"Esquerda";672092;713517
"202";"Marx da Depressão";"Criadores Digitais";"Direita";669120;162120
"203";"Plantão Policial";"Mídia Alternativa";"Direita";665448;1304445
"204";"Moça, você é machista";"Sociedade Civil";"Esquerda";646568;852940
"205";"David Miranda";"Políticos/partidos";"Esquerda";628860;88910
"206";"Sibá Machado Oliveira";"Políticos/partidos";"Centro-Esquerda";625799;45124
"207";"Mara Gabrilli";"Políticos/partidos";"Centro-Direita";620301;225529
"208";"Diego Casagrande";"Imprensa";"Direita";615504;203843
"209";"Paulo Teixeira";"Políticos/partidos";"Centro-Esquerda";610692;112808
"210";"Faca na Caveira";NA;"Direita";609083;NA
"211";"Carlos Zarattini";"Políticos/partidos";"Centro-Esquerda";602477;38744
"212";"Direita Conservadora";"Criadores Digitais";"Direita";602055;347439
"213";"Mobilização Patriota";"Criadores Digitais";"Direita";600575;259190
"214";"Marcel van Hattem";"Políticos/partidos";"Direita";593687;282284
"215";"Eduardo Suplicy";"Políticos/partidos";"Centro-Esquerda";593351;756687
"216";"Soldadinho de chumbo";"Criadores Digitais";"Centro-Esquerda";579248;139561
"217";"Amigos da Rota";"Criadores Digitais";"Direita";577333;992498
"218";"Época NEGÓCIOS";"Imprensa";"Centro";573218;637123
"219";"LAVA JATO não pode acabar";"Criadores Digitais";"Direita";571462;113713
"220";"PSOL 50";"Políticos/partidos";"Esquerda";568659;366247
"221";"Geraldo Alckmin";"Políticos/partidos";"Centro-Direita";565858;856297
"222";"Romário Faria";"Políticos/partidos";"Centro";565679;2422485
"223";"Jornalivre";"Mídia Alternativa";"Direita";564930;74585
"224";"Roberto Freire";"Políticos/partidos";"Centro";561877;104869
"225";"Chico Alencar";"Políticos/partidos";"Esquerda";561404;323041
"226";"Blog Dilma Rousseff";"Políticos/partidos";"Centro-Esquerda";561082;1198952
"227";"CUT Brasil";"Sociedade Civil";"Centro-Esquerda";557293;63122
"228";"Carlos Alberto Brilhante Ustra";"Criadores Digitais";"Direita";550660;89107
"229";"Direita Pernambuco";"Sociedade Civil";"Direita";549664;72489
"230";"Valor Econômico";"Imprensa";"Centro";547176;931489
"231";"Pablo Villaça";"Sociedade Civil";"Centro-Esquerda";542960;253261
"232";"Gregorio Duvivier";"Sociedade Civil";"Esquerda";539084;805792
"233";"Jornal O Dia";"Imprensa";"Centro";536746;523031
"234";"Dilma Rousseff, NÃO";"Criadores Digitais";"Direita";536680;140772
"235";"Felipe Moura Brasil";"Imprensa";"Direita";534885;222905
"236";"Razões Para Acreditar";"Mídia Alternativa";"Esquerda";533625;465770
"237";"O Pesadelo de Qualquer Político 2.0";"Criadores Digitais";"Direita";524995;84300
"238";"Anarquismo - Liberdade";"Criadores Digitais";"Esquerda";522107;349022
"239";"GloboNews";"Imprensa";"Centro";519281;2290201
"240";"Movimento Contra Corrupção - São Paulo";"Sociedade Civil";"Direita";518926;320398
"241";"Jovens reacionários defensores da liberdade combatendo o mal";"Criadores Digitais";"Esquerda";517885;225669
"242";"PT nacional";"Políticos/partidos";"Centro-Esquerda";516718;95123
"243";"Direita São Paulo";"Sociedade Civil";"Direita";516007;45472
"244";"Não foi ACIDENTE";"Sociedade Civil";"Esquerda";515134;1000265
"245";"Desmistificando o Brasil Oculto";"Criadores Digitais";"Direita";505336;18023
"246";"José Agripino";"Políticos/partidos";"Centro-Direita";502519;101647
"247";"Spotniks";"Mídia Alternativa";"Direita";498362;322525
"248";"Terça Livre TV";"Mídia Alternativa";"Direita";497865;84565
"249";"Grande mobilização Nacional contra a Corrupção";"Sociedade Civil";"Centro-Esquerda";495985;100037
"250";"Dossiê PT";"Criadores Digitais";"Direita";488875;254852
"251";"Portal Vermelho";"Mídia Alternativa";"Centro-Esquerda";477650;113650
"252";"Movimento Brasil Consciente";NA;"Direita";471123;NA
"253";"Apoiamos a Operação lava Jato";"Criadores Digitais";"Direita";470739;NA
"254";"Consciência Patriótica";"Sociedade Civil";"Direita";470271;86289
"255";"Mariachi";"Mídia Alternativa";"Esquerda";461596;165142
"256";"Geração Coca-Cola";"Criadores Digitais";"Esquerda";458866;408311
"257";"A Tribuna Jornal";"Imprensa";"Centro";451253;601897
"258";"Deputado Federal Arlindo Chinaglia";"Políticos/partidos";"Centro-Esquerda";450400;3988
"259";"Deputado Chico Lopes";"Políticos/partidos";"Centro-Esquerda";449862;85784
"260";"Tijolaço";"Mídia Alternativa";"Centro-Esquerda";448372;76962
"261";"Canal do Otário";"Criadores Digitais";"Direita";445338;1357582
"262";"Carlos Sampaio";"Políticos/partidos";"Centro-Direita";444694;178889
"263";"Onyx Lorenzoni";"Políticos/partidos";"Direita";444075;205689
"264";"Cruzada Pela Liberdade";"Criadores Digitais";"Direita";443352;96145
"265";"Janaína Paschoal - O Brasil está com você";"Criadores Digitais";"Direita";438206;406351
"266";"Bahia Notícias";"Imprensa";"Centro";429372;848747
"267";"Deputado Vanderlei Macris";"Políticos/partidos";"Centro-Direita";428488;30281
"268";"O Barbudinho";"Criadores Digitais";"Centro-Esquerda";427381;158492
"269";"Brasil, é hora de acordar";"Criadores Digitais";"Direita";425134;125810
"270";"Congresso em Foco";"Imprensa";"Centro";423252;275588
"271";"PT na Câmara";"Políticos/partidos";"Centro-Esquerda";422355;126644
"272";"Nando Moura";"Sociedade Civil";"Direita";419863;211522
"273";"Jornal do Commercio";"Imprensa";"Centro-Direita";419626;611990
"274";"Casa de Repouso Petista Camarada (CRPC)";"Criadores Digitais";"Direita";418360;64860
"275";"EU APOIO DILMA";"Criadores Digitais";"Centro-Esquerda";413694;155690
"276";"Rede Brasil Atual";"Mídia Alternativa";"Centro-Esquerda";409704;115384
"277";"Corrente do Bem pelo Brasil";"Criadores Digitais";"Direita";400879;385108
"278";"PCdoB - Partido Comunista do Brasil";"Políticos/partidos";"Centro-Esquerda";400161;193610
"279";"Margarida Salomão";"Políticos/partidos";"Centro-Esquerda";394782;86327
"280";"Armas de Fogo";"Criadores Digitais";"Direita";393553;619702
"281";"Doutor Rosinha";"Políticos/partidos";"Centro-Esquerda";392790;56001
"282";"CartaCapitalista";"Criadores Digitais";"Direita";392753;112287
"283";"Henrique Fontana";"Políticos/partidos";"Centro-Esquerda";387802;41895
"284";"Luciana Genro";"Políticos/partidos";"Esquerda";387750;483372
"285";"Po Serra";"Criadores Digitais";"Centro-Esquerda";385974;47801
"286";"Analfabeto Político";"Criadores Digitais";"Centro-Esquerda";384838;64839
"287";"Jaques Wagner";"Políticos/partidos";"Centro-Esquerda";383694;184765
"288";"Delegado Waldir";"Políticos/partidos";"Centro-Direita";381168;642962
"289";"OndaVermelha";"Sociedade Civil";"Centro-Esquerda";379747;72657
"290";"Pátria Amada Brasil";"Criadores Digitais";"Direita";378952;407408
"291";"Vanessa Grazziotin";"Políticos/partidos";"Centro-Esquerda";378490;229604
"292";"Muda Mais";"Criadores Digitais";"Centro-Esquerda";378478;123456
"293";"Revolta Brasil";"Criadores Digitais";"Direita";377633;163788
"294";"Rádio BandNews FM";"Imprensa";"Centro";377175;493789
"295";"ConJur";"Mídia Alternativa";"Centro-Esquerda";375824;487966
"296";"Rui Costa";"Políticos/partidos";"Centro-Esquerda";373452;242973
"297";"Conspiração Global";"Criadores Digitais";"Esquerda";365898;578622
"298";"Cássio Cunha Lima";"Políticos/partidos";"Centro-Direita";363604;323244
"299";"Botando Pilha";"Criadores Digitais";"Centro-Esquerda";363004;77072
"300";"Direita Carioca";"Criadores Digitais";"Direita";362229;78292
"301";"Bolsonaro Zuero 3.0";NA;"Direita";360798;NA
"302";"Desconstruindo Conceitos";"Criadores Digitais";"Esquerda";359854;882562
"303";"O Brazil de Fora do Brasil";"Mídia Alternativa";"Direita";359128;306452
"304";"Comunismo Fora";"Criadores Digitais";"Direita";355343;37772
"305";"Geração Invencível";"Sociedade Civil";"Esquerda";354830;75227
"306";"Fantástico - O Show da Vida";"Imprensa";"Centro";352654;7917740
"307";"João Campos";"Políticos/partidos";"Centro-Direita";351564;33322
"308";"O Povo Não É Bobo, Abaixo a Rede Globo";"Criadores Digitais";"Centro-Esquerda";346463;62990
"309";"Estado de Minas";"Imprensa";"Centro-Esquerda";342170;155218
"310";"Marina Sant'Anna";"Políticos/partidos";"Centro-Esquerda";340084;77427
"311";"André Dahmer - malvados";"Sociedade Civil";"Esquerda";339446;246013
"312";"Putz Grila";"Criadores Digitais";"Esquerda";338923;141291
"313";"Conte Lopes";"Políticos/partidos";"Direita";337147;485713
"314";"Revista Caros Amigos";"Mídia Alternativa";"Centro-Esquerda";331437;326072
"315";"Presbiteriano Pobre";"Criadores Digitais";"Direita";331309;132702
"316";"Blog da Cidadania";"Mídia Alternativa";"Centro-Esquerda";330544;13629
"317";"Nexo";"Mídia Alternativa";"Esquerda";329994;256515
"318";"Coronel Carlos Alberto Brilhante Ustra";"Criadores Digitais";"Direita";329877;155473
"319";"Éticamicina5mg - Tôvendotudo";"Criadores Digitais";"Direita";327441;35644
"320";"Oposição Zuera";"Criadores Digitais";"Direita";325173;159995
"321";"Cassação do Renan Calheiros";"Criadores Digitais";"Direita";322325;70816
"322";"Ricardo Coutinho";"Políticos/partidos";"Centro-Esquerda";322059;212391
"323";"Jornal de Brasília";"Imprensa";"Centro";321512;354099
"324";"Ta foda Ser Brasileiro";"Criadores Digitais";"Direita";317609;102023
"325";"Eu era direita e não sabia.";"Criadores Digitais";"Direita";316568;317874
"326";"Alessandro Molon";"Políticos/partidos";"Centro-Esquerda";316446;138682
"327";"Matheus Faria";"Sociedade Civil";"Direita";313261;171419
"328";"Clube dos Homens";"Criadores Digitais";"Direita";311179;570283
"329";"Raio Privatizador";"Criadores Digitais";"Direita";309263;84361
"330";"Sâmia Bomfim";"Políticos/partidos";"Esquerda";306783;31118
"331";"TV Poeira";"Criadores Digitais";"Centro-Esquerda";306134;87405
"332";"Campanha do Armamento";"Sociedade Civil";"Direita";302450;442797
"333";"Paulo Câmara";"Políticos/partidos";"Centro";300805;349895
"334";"Pedala Direita";"Criadores Digitais";"Centro-Esquerda";298570;94828
"335";"Haddad Tranquilão";"Criadores Digitais";"Centro-Esquerda";296476;262308
"336";"Rogério Peninha Mendonça";"Políticos/partidos";"Centro-Direita";295562;406451
"337";"Sérgio Moro - Presidente";"Criadores Digitais";"Direita";293868;160458
"338";"Ciro Gomes Presidente";"Criadores Digitais";"Centro-Esquerda";290091;203625
"339";"O Catequista";"Criadores Digitais";"Direita";289083;449439
"340";"Enio Verri";"Políticos/partidos";"Centro-Esquerda";288644;288446
"341";"Instituto Mises Brasil";"Sociedade Civil";"Direita";285864;244780
"342";"Marco Antonio Villa";"Imprensa";"Direita";283454;338901
"343";"iG";"Imprensa";"Centro";283058;900258
"344";"Folha Poder";"Imprensa";"Centro";280680;459812
"345";"Nossa Época";"Criadores Digitais";"Centro-Esquerda";279916;235932
"346";"Marcus Pestana";"Políticos/partidos";"Centro-Direita";277613;40109
"347";"Deputada Federal Jô Moraes";"Políticos/partidos";"Centro-Esquerda";277169;41741
"348";"Admiradores de Jair Bolsonaro";"Criadores Digitais";"Direita";276592;179838
"349";"Jornal Hoje";"Imprensa";"Centro";275638;5714429
"350";"Anonymous Brasil";"Sociedade Civil";"Esquerda";275230;51690
"351";"PT Da Depressão";"Criadores Digitais";"Direita";274973;54137
"352";"Outras Palavras";"Mídia Alternativa";"Esquerda";268029;289845
"353";"Eder Borges";"Mídia Alternativa";"Direita";267007;125618
"354";"Maria Do Rosário Nunes";"Políticos/partidos";"Centro-Esquerda";266483;191837
"355";"Família Católica Apostólica Romana";"Criadores Digitais";"Direita";264757;239859
"356";"Coração Valente";"Criadores Digitais";"Centro-Esquerda";264429;148065
"357";"Na dúvida, siga à esquerda";"Criadores Digitais";"Centro-Esquerda";261827;129299
"358";"Ajufe - Associação dos Juízes Federais do Brasil";"Sociedade Civil";"Direita";260301;272465
"359";"Legítima Defesa Armada";"Criadores Digitais";"Direita";258472;172582
"360";"Luciano Ayan";"Mídia Alternativa";"Direita";258088;71014
"361";"Rede TVT";"Mídia Alternativa";"Centro-Esquerda";256319;130771
"362";"Blog do Noblat - VEJA";"Imprensa";"Direita";254142;94941
"363";"Correio do Poder";"Mídia Alternativa";"Direita";254053;165254
"364";"Cômicas Políticas";"Criadores Digitais";"Centro-Esquerda";247720;113382
"365";"O Militante Conservador";"Criadores Digitais";"Direita";247037;145443
"366";"Bandeira Negra";"Criadores Digitais";"Esquerda";246807;87800
"367";"Patriotas Brasil";"Criadores Digitais";"Direita";245557;127647
"368";"Eu Odeio a Globo";"Criadores Digitais";"Centro-Esquerda";244366;167486
"369";"Augusto Nunes";"Imprensa";"Direita";242418;101263
"370";"Cristovam Buarque";"Políticos/partidos";"Centro";240905;414842
